User Name,Tweet Created At,Tweet Text,User Location,Retweet Count
User Name,Tweet Created At,Tweet Text,User Location,Retweet Count,Polarity,Subjectivity
WizardOfOz,2019-07-22 23:00:15,if chandrayaan2 was a success then thx 2 nehru if chandrayaan2 was a failure then modi failed. liberals presstitute logic.,nan,0,-0.17222222222222225,0.19999999999999998
🔥میاں IQBAL🔥,2019-07-22 22:58:45,pm modi shocked.... when and where i requested donaldtrump to mediate on kashmir issue?? khanmeetstrump ,"Lahore, Pakistan",0,-0.7,0.8
Ahmed Syed 🇵🇰🇸🇦,2019-07-22 22:58:18,indians! you dream of isolating pakistan has really become a nightmare for you! pakistan has finally started defeating all odds. kashmir issue was discussed as well apart from peace discussuon for afghanistan pmikinusa imrankhanourpride imrankhanvisitsus modi,ریاض- المملكة العربية السعودية,1,0.125,0.6
Mera Mirpur,2019-07-22 22:53:32,"pm modi asked for help to solve kashmir issue, can mediate: donald trump tells imran khan trump imrankhan modi kashmir freekashmir ",Manchaster UK,0,0.0,0.0
RJ,2019-07-22 22:53:30," being indian, i strongly believe that mr. modi can't do such a mistake. therefore, it is totally a fakenews, without any doubt.",India,0,0.14444444444444443,0.6611111111111111
RJ,2019-07-22 22:50:08, i wish my message reach to the us main stream media and they question mr. president that why did he do fakenews this time. why did he lie that asked him to mediate between india and pakistan on kashmir. if modi is wrong then expose it,India,0,-0.16666666666666669,0.6166666666666667
D҉a҉n҉i҉s҉h҉,2019-07-22 22:46:35,look the difference so here today i liston also the modi previous whitehouse conversion with trump and i observe he was trying to copy trump and check out the other side khanmeetstrump never copy others live your life in your own style in your own priority ,"Islamabad, Pakistan",0,0.20893939393939392,0.6083333333333333
Asad Beyg,2019-07-22 22:44:57,not that we want kashmir to be the fifth province of pakistan but no more human rights violation by indian army. khanmeetstrump modi kashmir,"Karachi, Pakistan",0,-0.125,0.3
SSkhan,2019-07-22 22:42:30, you must be sad that the visit went well as compared to your modi,nan,0,-0.5,1.0
ملکMalik,2019-07-22 22:42:00, whatever the public denials by india it is evident that modi did ask for mediation re kashmir. coming months will make that clear.,"London, England",0,0.11666666666666668,0.2333333333333333
Maaz Zaffar,2019-07-22 22:40:41, dragged delhi waly ‘babus’ out of there beds😁 modi khanmeetstrump imrankhanourpride kashmir,"Pakistan , Saudi Arabia",1,0.0,0.0
Lino Miani...Unofficial🇺🇸,2019-07-22 22:39:35, i stupidly deleted my tweet because i thought maybe maybe i jumped to a conclusion about this one and the president really isn't stupid enough to lie about this. but then... india modi whowantstobeamediator ,Worldwide,0,-0.5333333333333333,0.8333333333333334
Kiran Alluri,2019-07-22 22:39:13,"if this is true, its a big fucking mistake. modi racisttrump ""pm modi asked me to mediate between india and pakistan on kashmir: trump: ","Toronto, Canada",0,-0.08333333333333333,0.5166666666666667
Mohammad Awais Akhtar,2019-07-22 22:34:29, modi ji right now ,nan,0,0.2857142857142857,0.5357142857142857
Aamir Zahoor Sargana,2019-07-22 22:28:02,now this is tough challenge for modi to retaliate trump you are just under immense pressure right now. ik makes it through the best way the white diplomacy. indians only familiar to the black one. don't tell anyone but we want mediation in kashmir 😃 imrankhan well done ,Gojra ;Punjab ,0,0.13814484126984125,0.5752976190476191
Vishwas Gaitonde,2019-07-22 22:25:32,"diplomatic tightrope trump, at a meeting with imrankhan (see video in the article) says modi asked him to mediate in the kashmir dispute. india's ministry of external affairs denies this - in effect, saying that trump has stated an untruth pakistan",nan,2,0.0,0.1
Sondra spliffy spiff Smith🍁📝🐄⚽,2019-07-22 22:25:26, modi india needs to do big switcherooooo,Am I Carmen SanDiego?,0,0.0,0.1
Anna Woodward,2019-07-22 22:17:18,gov lucknow victory wome's power site:amitshah wins up elections yet modi gets credit ,United Kingdom,0,0.3,0.2
TopMostShop,2019-07-22 22:16:58,copyright unique encyclopedia site:3d tech &amp; divisive modi made history through voters ,UK,0,0.375,1.0
Faith Atheism Nub,2019-07-22 22:16:40,poetry like prose style site:big bjp win in uttarpradesh how? should modi get all credit ,nan,0,0.8,0.4
prash,2019-07-22 22:15:11," hey mr trump, not india🇮🇳 nor modi will have any talks with terrorists you have any talk with beggar pakistan but keep modiji &amp; india out of it.. there ain’t gonna be any talks with terror capital of world about kashmir trumpkashmirlie ",nan,0,0.0,0.0
PLO,2019-07-22 22:09:46, trump card has been played tactfully and i don’t put anything beyond the modi government.,Earth,1,0.0,0.0
BuntyVirk,2019-07-22 22:09:31,india’s modi hit with a bouncer from imrankhan.,United States,0,0.0,0.0
Ehsan Nabil,2019-07-22 22:08:35,why these hindu fundamentalist politicians suddenly seeking assistance from trump? smelling something bad. you probably want to keep usa away from this subcontinent. modi india bangladesh pakistan,"Dhaka, Bangladesh",0,-0.3499999999999999,0.5833333333333333
(UN)DIPLOMATIC,2019-07-22 22:04:21,"just a thought! on the topic of lgbt rainbow is modi gay? is he hiding his feelings? modi is gay are persistent, which is surely annoying. news modisarkar2 modiwantsmediation kashmir delhi bollywood mumbai bjpmembership2019 bjp bjpmission2019 india lynching ",Jamshoro Sindh. Pakistan.,1,0.011111111111111108,0.688888888888889
aamir,2019-07-22 22:03:16,"time for trump &amp; modi to speak truth in front of people instead of keep silent. india is denying that its prime minister ever asked us president donald trump to mediate in the long-standing dispute over kashmir,... ","Punjab, Pakistan",0,0.0,0.1
Mrs Angry Asian,2019-07-22 21:54:25, i'm no modi fan but trump has form.,nan,0,0.0,0.0
(UN)DIPLOMATIC,2019-07-22 21:53:11,modi can you match this? bjp lgbt ,Jamshoro Sindh. Pakistan.,0,0.0,0.0
Tahir Murtaza,2019-07-22 21:50:57, so either trump or modi: one of them is liar ! guess who?,"Islamabad, Pakistan",0,0.0,0.0
My Comfor,2019-07-22 21:49:51,"kashmir issue: trump offers to mediate, claims pm modi has asked him to. india ",deutscher Sprachraum,0,0.1,0.0
Non Political,2019-07-22 21:42:47, never underestimate narendan modi.... he really makes good tea his tea is also fantasticcccc ( tamil ),"Sharjah, United Arab Emirates",0,0.44999999999999996,0.4
Michael Tiknis,2019-07-22 21:42:06,"india's official spokesman just issued statement saying: ""no such request has been made by prime minister to the us president."" trumplieseverytimehespeaks modi kashmir ","Chicago, IL Buchanan, MI",0,0.0,0.5
subrat sahoo,2019-07-22 21:36:25,modi has offered to mediate between usa and iran just the same way trump offered to mediate for kashmir. trump has little to lose if he makes a statement as falsification is his forte and world just ignores it :d ,nan,0,-0.09375,0.3125
EisExtravagante,2019-07-22 21:36:07, and you need a reminder of khan reply in 7 tweets 🤗🙂 ask modi why he begged for meditation😜,"Barcelona, Spain",0,0.0,0.0
Ahmed Quraishi - TV Team,2019-07-22 21:34:49,pakistan's imrankhan looks royal with mr. &amp; mrs. trump compared to how india's modi did with the couple. pakistanis have a field day comparing their leader to india's: ikmeetstrump imrantrump uspakistan ,"Islamabad, Pakistan",9,0.0,0.0
R P Singh,2019-07-22 21:31:16, pl say thanks to trump as you got another chance for modi bashing and show ur eternal love to pakis.,"New Delhi, India",0,0.35,0.4
EisExtravagante,2019-07-22 21:31:09,baji ... no issue le lo tissue ... 😁i am wondering what modi how modi is feeling right now ,"Barcelona, Spain",0,0.2857142857142857,0.5357142857142857
Omair Shah,2019-07-22 21:30:44,"i think we should appreciate the first step taken by modi for the peaceful resolution of kashmir. it's time to resolve the issue between two peaceful nations, for the betterment of this entire region. ikmeetstrump modi","Punjab, Pakistan",0,0.1875,0.4895833333333333
Anil Mathew,2019-07-22 21:30:07,modi says one thing and bjp does another thing. who should i believe? ,Capital of love,1,0.0,0.0
NazishAlam,2019-07-22 21:29:47,no comments khanmeetstrump melania modi pmikinusa ,"نوشہرہ, پاکستان",0,0.0,0.0
Anil Mathew,2019-07-22 21:28:49,modisarkar2 modi says one thing but the bjp does another thing. who should i believe? ,Capital of love,0,0.0,0.0
EisExtravagante,2019-07-22 21:26:04,hehehehe he said modi asked him i would suggest to watch that part again 😁 ,"Barcelona, Spain",0,0.0,0.0
Riaz Haq,2019-07-22 21:26:01,check out the contrast....pmikvisitingus modi ,"Silicon Valley, CA",10,0.0,0.0
EisExtravagante,2019-07-22 21:24:27,mr. modi this is our khan. messenger of peace and a true leader in the subcontinent ,"Barcelona, Spain",0,0.35,0.65
Farheen Qureshi,2019-07-22 21:23:42,imrankhanvisitsus trump modi kashmir who is lying? modi or trump??,nan,0,0.0,0.0
R P Singh,2019-07-22 21:23:14," this is again and as usual one sided view without checking of facts. what trump has said on jammuandkashmir mediation has nothing more than making people like u to be happy. besides, modi bashing is not a criteria to get auto intellectual tag any more.","New Delhi, India",0,0.37,0.53
Pofivido,2019-07-22 21:20:57,it was modi govt that avenged the attacks carried out in uri and pulwama modi govt that avenged attacks carried pulwama ,nan,0,0.0,0.0
EisExtravagante,2019-07-22 21:19:48,so potus said that modi asked him to meditate on kashmir issue....👇👇👇👇 khanmeetstrump ,"Barcelona, Spain",0,0.0,0.0
James Taneti,2019-07-22 21:17:06," we are caught between two liars, modi and trump!","Richmond, VA",0,0.0,0.0
Am.Dr.Khe,2019-07-22 21:15:20,"in a sharp rebuttal to trump's comments, the indian government denied that modi had requested trump to mediate between india and pakistan. kashmir","Oregon, USA",0,-0.125,0.75
Hammad Shahid Gill,2019-07-22 21:13:59,"pakistan is facing horrible effects of us-talban war. pakistan destroyed its whole economy in war on terror. but still is complaining and demanding ""do more"".now we say ""no more"". let us destroy in war pmikinusa trump taliban modi kashmir pmvisitingus ","Punjab, Pakistan",0,-0.15,0.48
Lavish Sharma,2019-07-22 21:13:57,me: criticising government bhakt duniya: anti-national bhakt pita : u r a pessimistic nojavan jinko kuch politics ke teacher ne constitution ke kucche panne pda diye me: yes exactly! modi modiforlikes,"Udaipur, India",0,0.3125,0.25
muhammad tariq iqbal,2019-07-22 21:12:01,"trump says modi asked for usa mediation on kashmir,#india denies so who is lying here or the indians pmmodi pmimranhan freekashmir ",Pakistan,0,0.0,0.0
💖shad,2019-07-22 21:10:37," here we go, ind v/s us trump modi imrankhanvisitsus",nan,0,0.0,0.0
AFTAB ASHIQ (Tabi),2019-07-22 21:09:54,kashmir &amp; afganistan issue must be solved for progress and peace. let educated people of india and pakistan &amp; usa support to save humanity. every one will die but good deads will remain. imrankhanvisitsus khanmeettrump imrankhanourpride modi imrankhan donaldtrump ,Pakistan,1,0.7,0.6000000000000001
Sãra Abrham,2019-07-22 21:09:48,trump: i would love to visit pakistan if he extend an invitation to me. khan: dekh jani ab itni bhe frankness nahi hoi hum dono mai k tujhy ghar he bula lon😉😎 khanmeetstrump modi pakistanzindabad , koi milne ayega kiya?,1,0.5,0.6
Ishtiaq khan,2019-07-22 21:09:31,modi has requested to trum to be a mediator between pakistan and india on kashmir dispute? modi trump kashmir,dubai,0,0.0,0.0
Maria Mansha✨,2019-07-22 21:08:29,indeed our pm imran khan is proud for us❤. today his class✔ his personality✔ his smile✔ his attitude✔ his confidence✔ his body language✔ etc✔ can burn all pakistan's and his haters🔥👊. khanmeetstrump pmikinusa modi donaldtrump kashmir potus pmikjalsainusa,Somewhere Beneath The Sky ,0,0.8,1.0
Sãra Abrham,2019-07-22 21:07:58,"next time don't take faisal javed with you. take murad saeed instead, groom him. bohat aage ja skta. intro ye bhi de deta faisal se acha. khanmeetstrump modi pakistanzindabad", koi milne ayega kiya?,0,0.0,0.0
Sãra Abrham,2019-07-22 21:07:16,trump will never forget this shalwar kameez and peshawari chappal wearing man who spoke to him like a boss! khanmeetstrump modi pakistanzindabad , koi milne ayega kiya?,0,0.0,0.0
YANNI,2019-07-22 21:06:38,hey porn star do you miss your spot ? 🤣🤣 khanmeetstrump nextoutsidewhitehouse melaniatrump modi pakistan ,Pakistan,2,0.0,0.0
M. Mazhar Javed,2019-07-22 21:05:12,from 'we'll isolate pakistan' to 'trump is a liar' india's 47+ yrs foreign policy has been bashad by pm imran khan. modi,Islamabad,0,-0.125,0.125
Ayesha Aftab Ali,2019-07-22 21:04:03,modi 😆😆😆😆 so u stabbed ur countrymen again 🙏🏻🙏🏻 jay ho jay ho ,"Riyadh, KSA",0,0.0,0.0
Mudasar Abbasi,2019-07-22 21:03:55,"this is how a true leader speaks , dressed gracefully and confidently in national and traditional stuff .. a definite role model to follow khanmeetstrump modi presidenttrump ","Islamabad, Pakistan",0,0.2125,0.6833333333333333
संग्राम सिंह/SANGRAM SINGH,2019-07-22 21:03:45, don't compare modi ji with beggars.,Punjab (India),4,0.0,0.0
Syed Ali Hassan Kazm,2019-07-22 21:01:33,difference imrankhanvisitsus modi ,"Rawalpindi, Pakistan",1,0.0,0.0
Ali Hussain,2019-07-22 21:01:13,"president trump: “i was with prime minister modi, two weeks ago, we talked about this subject and he actually said, would you like be a mediator or arbitrator? i said where? he [modi] said kashmir... i said, if i can help, i would love to be a mediator” ",Pakistan/Islamabad/Parachinar ,0,0.11111111111111112,0.3444444444444444
Hiba Salman,2019-07-22 21:00:20,till not too long ago indians were defending potus when pakistanis were dragging him. oh how the tables have turned pmikvisitingus pmimran modi trump kashmir,nan,0,-0.05,0.4
Hennah Khan Afridi,2019-07-22 21:00:07,did melania tweeted for modi as she did for pmik....koi to update kerdo...😁😁😁😁😁😁😁😁😁 p.s: itnaaaaa bhi small man nahi thaaa modi 😁,"Province of Chelyabinsk, Russia",1,-0.25,0.4
سیّد نظام شاہ باچہ,2019-07-22 20:57:38,kashmir py ab baat hogi wo bi kul ky... indian is crying on the statement of modi chandrayaan2 isro indiamoonmission imrankhan imrankhanvisitsus indian insulting his on pm hahaha bhai chai wala or sports wala main touh faraq hoga na 😂 😂,Khyber Pukhtoonkhwa Pakistan,0,-0.20833333333333334,0.5833333333333334
Syed Ali Hassan Kazm,2019-07-22 20:56:41,difference imrankhanvisitsus modi ,"Rawalpindi, Pakistan",0,0.0,0.0
Muhammad Fahad 🇵🇰,2019-07-22 20:55:42,meanwhile paf sends burnol to india as a goodwill gesture to ease some of their pain modi kashmir khanmeetstrump ,nan,0,0.0,0.0
Misaligned Stars,2019-07-22 20:54:51,"us president trump says india's modi has also asked him to help with disputed kashmir region, he would love to be a mediator – reuters trumpkhantalks imrankhanvisitsus khanmeetstrump independentjk",Planet Earth ,0,0.5,0.6
Inzamamulaziz,2019-07-22 20:52:04, it is not a new thing because modi and indian media are liars.,nan,0,-0.06818181818181818,0.45454545454545453
Aliuddin,2019-07-22 20:50:43,but shameless purchased media will question nehru or opposition instead of questioning modi or bjp? ,nan,0,0.0,0.0
Faeza Dawood,2019-07-22 20:50:24,potus &amp; flotus - 2 pictures 2 leaders 2 moods khanmeetstrump kashmir modi trump melania pmimrankhan ,The World,6,0.0,0.0
Benjimine,2019-07-22 20:49:41,a beautiful situation when rightwing fucks rightwing for another rightwing. future is bright. imrankhanvisitsus modihaitomumkinhai donaldjtrump modi imrankhan,INDIA,0,0.5166666666666667,0.6416666666666666
H. G.,2019-07-22 20:45:41,"trump-how is the situation at the border? india-not so well. pakistan-mr. trump, we need your help. trump-seems like a serious immigration issue. what do you think about having a big giant wall? india, pakistan be like-kashmir modi ",nan,0,-0.1111111111111111,0.5888888888888889
Basavaraj Siddappa,2019-07-22 20:44:17, says pm.modi asked him to interven on kashmir issue ! refutes president trump claims.!! so who is the lier?? india wants to know...!! nationwantsknow kashmir trump modi kashir india lie,"Barcelona, Spain",0,0.3125,0.1
Utkarsh-Bhardwaj,2019-07-22 20:43:20,if the mae's claim are confirmed by modi sir. just think how terrible it would be 🤪 kashmir pakistan india trump modi ,India,0,-0.3,1.0
#FreePalestine 🇵🇸 #FreeKashmi #StandWithIlhan,2019-07-22 20:42:45,"jealousy making india nasty?. imrankhanvisitsus &amp; draws 20 000 to the arena, can the gujarat butcher modi do this in the us ? ",Activist→RESISTANCE IS DUTY←,0,-1.0,1.0
Khadijah Ahmad Malik,2019-07-22 20:41:10,"india upside down over modi soliciting mediation from potus in kashmir issue. india in absolute denial, refusal and shock. however the air is clear for pakistan. and we are enjoying the good spot. khanmeetstrump modi","Islamabad,Pakistan",0,0.26888888888888884,0.5544444444444444
Mark Collins,2019-07-22 20:41:06," more on trump mucking up relations with india, kashmir section, from pakistan modi himalayas imrankhan diplomacy tousazimuts isi","Ottawa, Ontario",2,0.5,0.5
Zain KhoKhar,2019-07-22 20:39:26,did she met modi like that 😁🤭 ,Pakistan,6,0.0,0.0
Ahmed ali khokhar,2019-07-22 20:38:40,so actually india mn aag lagi hui hai k why trump used modi name to be a mediate in kashmir issue,DUBAI ,0,0.0,0.1
Alice.Avril,2019-07-22 20:38:28,modi is brutally folked up. trump ne ander ki baat nikaal di. ind media modi poe phatt para.😂,Islamabaad,0,-0.875,1.0
BuntyVirk,2019-07-22 20:37:29,it means modi has been discussing kashmir with trump behind the scenes. i am 100% convinced. ,United States,0,-0.4,0.7
@MuhammadHashir,2019-07-22 20:35:54, these indians are syaing you a liar but fact is otherwise modi is a liar ,nan,0,0.0,0.0
Sanket Desai,2019-07-22 20:35:05,"dear kashmir is an integral part of india. i hope you understand simple english. as for your efforts, there are global terrorist roaming free in your pakistan. hand them over to india indiafirst modi",nan,0,0.1,0.2892857142857143
NISHANT PURI 🇮🇳,2019-07-22 20:32:57,i dont know why pakistanis are getting so happy after hearing trump's statements. some are even saying it's a big diplomatic win over india😂😂😂😂😂. ismein koi haar jeet wali baat kha se aagyi 😂😂😂 kashmir modi imrankhan trumpkashmirlie,india,0,0.5333333333333333,0.5
Sanjay Sinha,2019-07-22 20:31:09,"donaldtrump said ,""modi had asked him a couple of weeks ago whether he would be mediator or arbitrator on kashmir ?"" who is speaking the truth ? indian govt sud strictly condemn the lie of trump if modi didn't say this. bjp ",nan,0,0.0,0.0
Iqra Shoaib,2019-07-22 20:30:24,the trio is trending khanmeetstrump kashmir modi ,nan,0,0.0,0.0
ENGIYAH,2019-07-22 20:30:17,"india must realize that resolving kashmir wil lead to new era of prosperity in the entire region. therefore, modi &amp; the belligerent indian media must welcome imran khan's approach &amp; respond positively. khanmeetstrump ikmeetstrump chandrayaan2","Chitral, Pakistan",0,0.2909090909090909,0.63125
Rana Mo,2019-07-22 20:28:38,modi trying to look like trump! 😂😂😂😂😂 he never know trump sitting like his natural style ! khanmeetstrump modi ,"Lahore, Pakistan",8,0.125,0.4
(UN)DIPLOMATIC,2019-07-22 20:28:14,this is what the world needs to do.... shame on saudiarabian king. canada usa syria lebanon iraq pakistan lahore karachi aswj punjab wahhabism indai modi bjp toronto ottawa cdnmedia news breaking saudi ,Jamshoro Sindh. Pakistan.,0,0.0,0.0
Viral News Pakistan,2019-07-22 20:28:02,usa accepts to mediate kashmir dispute between pakistan and india khanmeetstrump modi kashmir pmikinusa ,"Lahore, Pakistan",1,0.0,0.0
Taimur Malik,2019-07-22 20:27:35,surprising india didn’t even wait a day to deny modi having requested us mediation re kashmir. definitely a diplomatic coup for pakistan. khanmeetstrump 🇵🇰 ,Global,0,0.35,0.5
🇮🇳 SKumarS 🇨🇦🍁,2019-07-22 20:27:27,don't know this is which nth lie by trump but yes modi hasn't asked for help in kashmir ,"Toronto, Ontario",0,0.0,0.0
Sardar Aqib,2019-07-22 20:26:44,india should also protest on these double standards 😂😂😂😂😂 khantomeettrump kashmir modi ,nan,0,0.0,0.0
Pramesh Bose,2019-07-22 20:26:06,trump just said that modi asked him a few weeks ago to help mediate the india-pakistan conflict over kashmir. now modi's spokesman says modi never asked trump to do that. what's going on? india pakistan kashmir modi trump ,Trump's America,0,-0.2,0.1
Viral News Pakistan,2019-07-22 20:25:54,it is my honour to have here the very popular prime minister of pakistan: trump khanmeetstrump modi kashmir pmikinusa ,"Lahore, Pakistan",1,0.78,1.0
Aazam Hashmi,2019-07-22 20:25:24,"in order to solve this old continuing dispute of kashmir , india doesn't need to have any third party meditation. this is obvious a one sided meaningful dispute from the outset. modi trumpkashmirlie kashmir meditation","Jamshedpur, India",0,0.15,0.3
Aimen AD Awan,2019-07-22 20:25:15, in ur face woman. khanmeetstrump imrankhanvisitsus imrankhanourpride pmikinusa imrankhan modi kashmir ,somewhere Around u. ATD,0,0.0,0.0
Majorly General Nishant Varma,2019-07-22 20:23:32," for india's sake clarify in writing whether asked to mediate on kashmir issue? india and pakistan have official position to resolve bilaterally only, agreed with . i and all must know whether modi bent? or trump lied?",India,0,0.0,1.0
Ankur gurjar,2019-07-22 20:23:29,"us president donald trump says pm narendra modi has also asked him to help with ""disputed kashmir"" region, he would ""love to be a mediator"". -but indian mea spokesperson ravish kumar has denied strongly. modi trump khanmeetstrump pakistan ","Noida, India",0,0.4666666666666667,0.6666666666666666
Majorly General Nishant Varma,2019-07-22 20:23:00," for india's sake clarify in writing whether asked to mediate on kashmir issue? india and pakistan have official position to resolve bilaterally only, agreed with . i and all must know whether modi bent? or trump lied? ",India,0,0.0,1.0
Viral News Pakistan,2019-07-22 20:21:11,imran khan and donald trump full media talk after one on one meeting at the white house khanmeetstrump modi kashmir pmikinusa ,"Lahore, Pakistan",1,0.175,0.275
1 Rotten Apple MODI - ChowkidarChorHai,2019-07-22 20:20:51,"adaniambani are given mudraloans with minimal or no collateral and poor ghasitaram is given khudraloan by modi after securing it with 300% collateral - a win win situation for threesome modi, rss and adani ",INDIA,2,0.275,0.5
shoaib ahmed malik,2019-07-22 20:20:44,modi modi is in trouble 😀 huge diplomatic win for pm imran khan on kashmir issue. tune in indian media and enjoy,nan,0,0.35,0.5
The English Post,2019-07-22 20:20:27,"india rejects trump offer on kashmir, says modi never made such request ",India,0,0.0,0.5
Majorly General Nishant Varma,2019-07-22 20:19:19," for india's sake clarify in writing whether asked to mediate on kashmir issue? india and pakistan have official position to resolve bilaterally only, agreed with . i and all must know whether modi bent? or trump lied? ",India,0,0.0,1.0
Abdul Raheem,2019-07-22 20:18:23,trump has trapped modi very badly! either modi has to confess that he invited usa to intervene in kashmir dispute or he has to consider donaldtrump a liar. it's a win win situation for pakistan. all because of imrankhanourpride. imrankhan imrankhanvisitsus khanmeetstrump ,nan,1,0.10000000000000003,0.41666666666666663
Samir Ali,2019-07-22 20:16:43,"we have two new fans of from usa, taking a picture with him😊 and legend leader 💚🇵🇰 pmikinusa imrankhanvisitsus modi kashmir pmikinusa khanmeetstrump ","Lahore, Pakistan",0,0.13636363636363635,0.45454545454545453
k.subash,2019-07-22 20:16:29, mr.trumph if you mediate to india pakistan in the kashmir issue. then india mediate to america mexico border issues.... modi,nan,0,0.0,0.0
Umesh Shukla,2019-07-22 20:14:58,"pic 1 - breaking news in pakistan, pic 2 - breaking news in india, pic -3 meanwhile, modi ji kashmir khanmeetstrump modi ","Delhi, India",0,0.0,0.0
Ahsin Awan,2019-07-22 20:13:59,prime minister imran khan exchanging views with president donald j. trump during tour of the white house. khanmeetstrump kashmir modi trumphostskhan ,Mansehra Pakistan,0,0.0,0.0
@MuhammadHashir,2019-07-22 20:13:14,you think is a liar i don't think so he hate liars how modi lies and lies ,nan,0,-0.8,0.9
Rao Tahir Shahzad,2019-07-22 20:13:14,prime minister imran khan and president donald j. trump discussed all important issues in detail while having a great walk inside white house. khanmeetstrump pmikvisitingus pmikinusa pakistan modi kashmir imrankhan imrankhanourpride pakistanzindabad presidenttrump ,"ملتان, پاکستان",0,0.4000000000000001,0.5833333333333334
Samir Ali🇵🇰,2019-07-22 20:12:36,"we have two new fans of from usa, taking a picture with him😊 and legend leader 💚🇵🇰 pmikinusa imrankhanvisitsus modi kashmir pmikinusa ","Sargodha, Pakistan",0,0.13636363636363635,0.45454545454545453
Anmol Alphonso 🕵️,2019-07-22 20:11:33,trump as usual trying to play to the gallery and ending up like a fool. i seriously doubt modi would ask him in to 'meditate' in kashmir.,"Mumbai, India",0,-0.29166666666666663,0.4583333333333333
Rao Tahir Shahzad,2019-07-22 20:09:27,good vibes only ✌🏻 imrankhanourpride khanmeetstrump pakistan pakistanzindabad pmikinusa presidenttrump kashmir modi imrankhanvisitsus imrankhan melania pmikvisitingus ,"ملتان, پاکستان",0,0.35,0.8
Sonal,2019-07-22 20:08:03,can somebody tell mr. trump that he can never win the nobel peace prize? these gimmicks won't help in anyway sir. modi/ india never made any request to you to mediate in kashmir ... india can handle the matter on their own. ,New Delhi,2,0.09999999999999998,0.7
Asif Khan,2019-07-22 20:07:53,feel the difference khanmeetstrump imrankhanourpride imrankhanvisitsus pmikinusa imrankhan modi ,"Peshawar, Pakistan",1,0.0,0.0
Farooq Merchant,2019-07-22 20:07:00, please read this before you abide by your gay (happy) friend modi on india &amp; pakistan simla agreement arbitration ,"ÜT: 19.0608056,72.8233403",0,0.6083333333333334,0.7916666666666667
Faraz Ahmed Jan,2019-07-22 20:06:08, this one-liner from trump has put modi on the back foot. india is rattled after khanmeetstrump ,nan,0,0.0,0.0
