Screen Name,User Name,Tweet Created At,Tweet Text,User Location,Retweet Count,Phone Type,Hashtags,Country Code,Country,lat,long,Polarity,Sentiment
TheCuriousLuke,Curious Luke ,8/17/2019 4:48,b ava can do it all don t get locked in with a vendor with limited capabilities ava can accomplish every one of these tasks w   ,Switzerland ,8,RTML ,nan,ch,Switzerland,46.7985624,8.2319736,0.2263,POSITIVE
VinuSemiotics,vinu R chandran ,8/17/2019 4:39," artificial intelligence needs a strong data foundation
   ","Chennai, India ",10,Twitter Web App , ai technology artificialintelligence tech machinelearning,in,India,13.0801721,80.2838331,0.7506,POSITIVE
TheCuriousLuke,Curious Luke ,8/17/2019 4:36," artificial intelligence needs a strong data foundation
   ",Switzerland ,10,RTML , ai technology artificialintelligence tech machinelearning,ch,Switzerland,46.7985624,8.2319736,0.7506,POSITIVE
chidambara09,Chidambara .ML. ,8/17/2019 4:35," artificial intelligence needs a strong data foundation
   ",Mysore  and  BERLIN  ,10,Twitter Web App , ai technology artificialintelligence tech machinelearning,de,Germany,52.52437,13.41053,0.7506,POSITIVE
chidambara09,Chidambara .ML. ,8/17/2019 4:35," ai augmentation to create  trillion of business value
   ",Mysore  and  BERLIN  ,5,Twitter Web App , ai technology artificialintelligence tech machinelearning,de,Germany,52.52437,13.41053,0.5423,POSITIVE
rsardenberg,ricardo sardenberg ,8/17/2019 4:24," new generation of prosthetics can read almost 

this armband uses to predict    ","Greater Seattle area, Wa ",64,Twitter Web App , prosthetics minds machine learning,us,United States of America,47.589298,-122.384975,0.0,NEUTRAL
Ferbeltranmx,Fernando C. Perez B. ,8/17/2019 4:04," artificial intelligence needs a strong data foundation
   ",Mexico City ,10,Twitter Web App , ai technology artificialintelligence tech machinelearning,mx,Mexico,19.4326009,-99.1333416,0.7506,POSITIVE
Ferbeltranmx,Fernando C. Perez B. ,8/17/2019 4:03," ai augmentation to create  trillion of business value
   ",Mexico City ,5,Twitter Web App , ai technology artificialintelligence tech machinelearning,mx,Mexico,19.4326009,-99.1333416,0.5423,POSITIVE
AaronCuddeback,Aaron Cuddeback ,8/17/2019 4:01," ai augmentation to create  trillion of business value
   ","Sacramento, CA ",5,aaroncuddeback.com , ai technology artificialintelligence tech machinelearning,us,USA,38.5815719,-121.4943996,0.5423,POSITIVE
Ferbeltranmx,Fernando C. Perez B. ,8/17/2019 3:59,"ai augmentation to create  trillion of business value
 ",Mexico City ,5,EveryoneSocial , ai technology artificialintelligence tech machinelearning iot bigdata blockchain coding innovation cybersecurity data programming security robotics datascience alexa amazon,mx,Mexico,19.4326009,-99.1333416,0.5423,POSITIVE
SaeedBaygi,Saeed Valadbaygi ,8/17/2019 3:54,us employers expect growth of in the workplace but not major job reductions    groundbreak carolinas artificial intelligence  is moving full steam ahead in the us workplace by   of us   ,"Toronto, Ontario ",0,Twibble.io , Artificial Intelligence AI Toronto Fraud Business,ca,Canada,43.653963,-79.387207,0.714,POSITIVE
Ferbeltranmx,Fernando C. Perez B. ,8/17/2019 3:52,"artificial intelligence needs a strong data foundation
 ",Mexico City ,10,EveryoneSocial , ai technology artificialintelligence tech machinelearning iot bigdata blockchain coding innovation cybersecurity data programming security robotics datascience alexa amazon,mx,Mexico,19.4326009,-99.1333416,0.7506,POSITIVE
hackerhodl,hackerhodl ,8/17/2019 3:15,a comprehensive primer on artificial intelligence potential and risks of robots  intelligence ,"Gurgaon, India ",0,Twitter Web Client , technology artificial ai,in,India,28.4646148,77.0299194,0.7269,POSITIVE
semrise,SEMRISE ,8/17/2019 2:30," the economics of  how cheaper predictions will change the world 
 by       ",United States ,57,How To Retweet Man , ArtificialIntelligence,us,USA,39.7837304,-100.4458825,0.0,NEUTRAL
BRANDdonator,Brandon Edwards ,8/17/2019 2:28," the economics of  how cheaper predictions will change the world 
 by       ","New York, USA ",57,Twitter for Android , ArtificialIntelligence,us,USA,40.7127281,-74.0060152,0.0,NEUTRAL
PDXorax,Peter          ,8/17/2019 2:01, a team of researchers recently developed a robotic exosuit that makes it easier to walk or run long distances it could imbue    ,"Portland, OR ",3,TweetDeck ,nan,us,USA,45.5202471,-122.6741949,0.4215,POSITIVE
chidambara09,Chidambara .ML. ,8/17/2019 1:55,"  aims to unleash  boost global revenues by  billion in  years 

 via     ",Mysore  and  BERLIN  ,7,Twitter Web App , AI Automation productivity,de,Germany,52.52437,13.41053,0.4019,POSITIVE
TheHighway2AI,The Highway To AI ,8/17/2019 1:38,"  aims to unleash  boost global revenues by  billion in  years 

 via     ",United Kingdom ,7,Twitter Web App , AI Automation productivity,gb,United Kingdom,55.367,-3.9614184,0.4019,POSITIVE
TonyaACooper,The Innovation Train ,8/17/2019 1:18,"  aims to unleash  boost global revenues by  billion in  years 

 via     ",United States ,7,Twitter Web App , AI Automation productivity,us,USA,39.7837304,-100.4458825,0.4019,POSITIVE
VR_ARTech,VR & AR Technology ,8/17/2019 1:11, automation technologies including advanced robotics artificial intelligence and additive manufacturing alter production    ,Global ,58,Twitter Web App ,nan,ca,Canada,43.7283874,-79.3491488,0.6249,POSITIVE
Pardoe_AI,Prof Andy Pardoe #intoAI #AI Conf & Expo 31st Oct ,8/17/2019 1:11,b is undergoing the largestscale experiment on in  here   s what s happening an   ,Global ,1,integration with twitter25 , China artificial intelligence education,ca,Canada,43.7283874,-79.3491488,0.0,NEUTRAL
Pardoe_AI,Prof Andy Pardoe #intoAI #AI Conf & Expo 31st Oct ,8/17/2019 1:11, a team of researchers recently developed a robotic exosuit that makes it easier to walk or run long distances it could imbue    ,Global ,3,integration with twitter25 ,nan,ca,Canada,43.7283874,-79.3491488,0.4215,POSITIVE
fintechna,FINTECHNA ,8/17/2019 1:07,"  aims to unleash  boost global revenues by  billion in  years 

 via     ",LON | NYC | HKG  | SYD | SIN ,7,fintrt , AI Automation productivity,sg,Singapore,1.28967,103.85007,0.4019,POSITIVE
AnupamBhide,Anupam Bhide ,8/17/2019 1:06," aims to unleash  boost global revenues by  billion in  years 

 via 


 ","San Jose, CA ",7,Twitter for Android , AI Automation productivity MachineLearning DeepLearning BigData Fintech DataScience Robotics RPA Infographics,us,USA,37.3361905,-121.8905833,0.4019,POSITIVE
kinolina,eric ,8/17/2019 0:31,a team of researchers recently developed a robotic exosuit that makes it easier to walk or run long distances it could imbue average people with superhuman walking abilities aid the disabled and help soldiers on long marches \\ tnw \\ ,west seattle ,3,Twitter for iPhone , AI robotics,us,USA,47.5709315,-122.3865166,0.7579,POSITIVE
SriniTechGeek,Srinivasa Sivakumar ,8/17/2019 0:30,bis undergoing the largestscale experiment on in  here   s what s happening and how it could shape the rest of the world ,"Banglaore, India ",1,LinkedIn , China artificial intelligence education digitaladvisor ai artificialintelligence,in,India,22,79,0.0,NEUTRAL
jayeshmthakur,jayeshthakur ,8/16/2019 23:47, artificial intelligence is the future of corporate education  the tech edvocate    ,::1 ,5,jayeshthakur , edtech technology innovation AI,in,India,22.3511148,78.6677428,0.4767,POSITIVE
wiomax_cn,WioNavi ,8/16/2019 23:30," automotive artificial intelligence market revenue is to reach a value of  billion forecast till  
   ",United States ,3,wiomax_cn2 , Automotive,us,USA,39.7837304,-100.4458825,0.6808,POSITIVE
TrackBots,Mobility ,8/16/2019 22:18," automotive artificial intelligence market revenue is to reach a value of  billion forecast till  
   ",United States ,3,MavenBot , Automotive,us,USA,39.7837304,-100.4458825,0.6808,POSITIVE
andrewmorrisuk,Andrew Morris ,8/16/2019 22:15,b ava can do it all don t get locked in with a vendor with limited capabilities ava can accomplish every one of these tas   ,Bedford ,1,Autism_twitter ,nan,gb,United Kingdom,52.1363806,-0.4675041,0.2263,POSITIVE
domingonarvaez1,Domingo Narvaez ,8/16/2019 22:12," the economics of  how cheaper predictions will change the world 
 by       ",Aragua-Vzla ,57,Twitter for Android , ArtificialIntelligence,ve,Venezuela,10.2482174,-67.5854305,0.0,NEUTRAL
FelixEVargas,Felix E. Vargas Q. ,8/16/2019 22:01,"bava can do it all don t get locked in with a vendor with limited capabilities ava can accomplish every one of these tasks with ease

intelligence twittercomnvrviaccvb     ",Lima ,1,Microsoft Azure Logic Apps , AIOps AI Artificial Datacenter Elastic MachineLearning Monitoring Data BigData IoTpic,pe,Peru,-12.0621065,-77.0365256,0.7579,POSITIVE
andrewmorrisuk,Andrew Morris ,8/16/2019 22:01,b ava can do it all don t get locked in with a vendor with limited capabilities ava can accomplish every one of these   ,Bedford ,1,Autism_twitter ,nan,gb,United Kingdom,52.1363806,-0.4675041,0.2263,POSITIVE
AnalyticsFrance,Analytics France ,8/16/2019 21:50,"bava can do it all don t get locked in with a vendor with limited capabilities ava can accomplish every one of these tasks with ease

intelligence twittercomnvrviaccvb     ","Paris, France ",1,IFTTT , AIOps AI Artificial Datacenter Elastic MachineLearning Monitoring Data BigData IoTpic,fr,France,48.8566969,2.3514616,0.7579,POSITIVE
andrewmorrisuk,Andrew Morris ,8/16/2019 21:45,b ava can do it all don t get locked in with a vendor with limited capabilities ava can accomplish every one of these   ,Bedford ,1,Autism_twitter ,nan,gb,United Kingdom,52.1363806,-0.4675041,0.2263,POSITIVE
andrewmorrisuk,Andrew Morris ,8/16/2019 21:45,b ava can do it all don t get locked in with a vendor with limited capabilities ava can accomplish every one of these tasks   ,Bedford ,1,Autism_twitter ,nan,gb,United Kingdom,52.1363806,-0.4675041,0.2263,POSITIVE
BigData_Fr,Big Data Analytics ,8/16/2019 21:44,"bava can do it all don t get locked in with a vendor with limited capabilities ava can accomplish every one of these tasks with ease

intelligence twittercomnvrviaccvb    ","Paris, France ",1,IFTTT , AIOps AI Artificial Datacenter Elastic MachineLearning Monitoring Data BigData IoTpic,fr,France,48.8566969,2.3514616,0.7579,POSITIVE
domingonarvaez1,Domingo Narvaez ,8/16/2019 21:44, automation technologies including advanced robotics artificial intelligence and additive manufacturing alter production    ,Aragua-Vzla ,58,Twitter for Android ,nan,ve,Venezuela,10.2482174,-67.5854305,0.6249,POSITIVE
DataScientistsF,Data Scientists ,8/16/2019 21:43,"bava can do it all don t get locked in with a vendor with limited capabilities ava can accomplish every one of these tasks with ease

intelligence twittercomnvrviaccvb     ","Paris, France ",1,IFTTT , AIOps AI Artificial Datacenter Elastic MachineLearning Monitoring Data BigData IoTpic,fr,France,48.8566969,2.3514616,0.7579,POSITIVE
RockyScopelliti,Rocky Scopelliti ,8/16/2019 21:31,the exhibition features demonstrations and seminars on the cutting edge of robotics as well as art installations and performances featuring robotic elements ,Sydney NSW ,0,LinkedIn , youthquake4 robotics brisbane automation internet mobility industry4,au,Australia,-33.8548157,151.2164539,0.1531,POSITIVE
SaeedBaygi,Saeed Valadbaygi ,8/16/2019 21:24,defense department to use to help map wildfires    wildfire today defense has troves of sensor data digital video data digital infrared data and sonar data   all of which are attractive environments for ma  ,"Toronto, Ontario ",0,Twibble.io , artificial intelligence Business Toronto AI,ca,Canada,43.653963,-79.387207,0.765,POSITIVE
rnalytics,R   nalytics ,8/16/2019 21:21, automation technologies including advanced robotics artificial intelligence and additive manufacturing alter production    ,"Riverside, CA ",58,Sharing_Fashion ,nan,ca,Canada,50.481292,-108.2892248,0.6249,POSITIVE
ayepezd,Andres Yepez ,8/16/2019 21:10," new generation of prosthetics can read almost 

this armband uses to predict    ",Ecuador ,64,Twitter for Android , prosthetics minds machine learning,ec,Ecuador,-1.3397668,-79.3666965,0.0,NEUTRAL
markant8,Marco  Meza ,8/16/2019 20:48, artificial intelligence is the future of corporate education  the tech edvocate    ,Mexico ,5,Twitter for Android , edtech technology innovation AI,mx,Mexico,19.4326009,-99.1333416,0.4767,POSITIVE
calmsannic,Elder Moony Morgan ,8/16/2019 20:34, automation technologies including advanced robotics artificial intelligence and additive manufacturing alter production    ,some where on earth..... ,58,Twitter for Android ,nan,us,United States of America,34.23314,-102.41075,0.6249,POSITIVE
AceM4n_,   AceMan (T.@.0) ,8/16/2019 20:25,b ava can do it all don t get locked in with a vendor with limited capabilities ava can accomplish every one of these tasks w   , Growth H. ,8,Twitter for iPad ,nan,de,Germany,52.44889,9.74,0.2263,POSITIVE
StrategyNDigita,Strategy & Digital ,8/16/2019 19:56, automation technologies including advanced robotics artificial intelligence and additive manufacturing alter production    ,"Texas, USA ",58,Twitter Web App ,nan,us,USA,31.8160381,-99.5120986,0.6249,POSITIVE
msarozz,Saroj Humagain ,8/16/2019 19:16,b ava can do it all don t get locked in with a vendor with limited capabilities ava can accomplish every one of these tasks w   ,Nepal ,8,"Twitter bot, saroj humagain ",nan,np,Nepal,28.1083929,84.0917139,0.2263,POSITIVE
andrewmorrisuk,Andrew Morris ,8/16/2019 19:15,b ava can do it all don t get locked in with a vendor with limited capabilities ava can accomplish every one of these tasks w   ,Bedford ,8,Autism_twitter ,nan,gb,United Kingdom,52.1363806,-0.4675041,0.2263,POSITIVE
AVAAIOps,Advanced Vector Automation - AVA ,8/16/2019 19:15,"bava can do it all don t get locked in with a vendor with limited capabilities ava can accomplish every one of these tasks with ease

intelligence ","Denver, CO ",8,Hootsuite Inc. , AIOps AI Artificial Datacenter Elastic MachineLearning Monitoring Data BigData IoT,us,USA,39.7392364,-104.9848623,0.7579,POSITIVE
U_OF_EXCELLENCE,THEUNIVOF EXCELLENCE ,8/16/2019 18:36,there s more than ai  part  information technology tampering and  plus     how the will use  against you  ,Hawaii ,0,Hootsuite Inc. , Artificial Intelligence Brain AI Antichrist Beast Information Technology IT,us,USA,21.2160437,-157.975203,0.0,NEUTRAL
SaeedBaygi,Saeed Valadbaygi ,8/16/2019 18:24, compute doubling every  months    formtek blog artificial intelligence models have grown in complexity and sophistication but the gains have come not so much in the area of software and new algorithms but   ,"Toronto, Ontario ",0,Twibble.io , Artificial Intelligence AI Business,ca,Canada,43.653963,-79.387207,0.631,POSITIVE
andrlopez,Andres Lopez ,8/16/2019 18:03," the economics of  how cheaper predictions will change the world 
 by       ","Las Condes, Chile ",57,Twitter for iPhone , ArtificialIntelligence,cl,Chile,-33.4247879,-70.5174976,0.0,NEUTRAL
DMInc_AI,DimensionalMechanics ,8/16/2019 18:01,"interesting roundup of sources of on  

","Bellevue, WA ",0,Hootsuite Inc. , MarketData AI ML DeepLearning automation robotics,us,USA,47.6144219,-122.1923372,0.4019,POSITIVE
SaeedBaygi,Saeed Valadbaygi ,8/16/2019 17:54,ai is learning from humans many humans    the new york times is being taught by thousands of office workers around the world it is not exactly futuristic work  ,"Toronto, Ontario ",0,Twibble.io , Artificial intelligence Business ArtificialIntelligence AI,ca,Canada,43.653963,-79.387207,0.0,NEUTRAL
NewsEdgetech,Edge Technology News ,8/16/2019 17:45, automation technologies including advanced robotics artificial intelligence and additive manufacturing alter production    ,Online ,58,Twitter Web App ,nan,fr,France,43.5904719,3.8595132,0.6249,POSITIVE
3qLof,                                                                              ,8/16/2019 17:20,"the handan public security bureau in northern china deployed three types of traffic to assist human officers in the city
three police force that is equipped with the latest and  ",Earth ,0,Twitter for iPhone , robots futurist Robot artificial intelligence facial recognition technologies,us,USA,34.2331373,-102.4107493,0.34,POSITIVE
SaeedBaygi,Saeed Valadbaygi ,8/16/2019 16:54,bhms stock holds in buy zone as it invests in intelligence    investor s daily hms stock is stock of the day holding in a buy zone the healthcare cost containment company is investing heavily in artificial intelli  ,"Toronto, Ontario ",0,Twibble.io , Artificial Business Intelligence AI,ca,Canada,43.653963,-79.387207,0.4767,POSITIVE
RPA_branding,Nicole Nuppenau ,8/16/2019 16:05,"bmicrosoft s goal is to build a nextgeneration platform that is not only powerful but ehtical and trustworth read about their commitment to this vision here    

","Cologne, Germany ",0,Hootsuite Inc. , ArtificialIntelligence AI MachineLearning ML BigData IoT DeepLearning Robotics,de,Germany,50.938361,6.959974,0.6409,POSITIVE
SaeedBaygi,Saeed Valadbaygi ,8/16/2019 15:54,why oil amp gas is likely to take i    bnamericas english the quantity of data used in the oil and gas industry creates space for a boom in artificial intelligence  ,"Toronto, Ontario ",0,Twibble.io , artificial Toronto AI ArtificialIntelligence,ca,Canada,43.653963,-79.387207,0.6369,POSITIVE
AUKenDog,Ken Martin ,8/16/2019 15:51, a survey of  helps understand where has been and where it is heading      ,"Atlanta, GA ",4,Twitter for iPhone , executives leaders AI,us,USA,33.7490987,-84.3901849,0.3818,POSITIVE
NewTechTwin,Emerging Tech Channel ,8/16/2019 15:49, automation technologies including advanced robotics artificial intelligence and additive manufacturing alter production    ,United States ,58,Twitter Web App ,nan,us,USA,39.7837304,-100.4458825,0.6249,POSITIVE
AYCLearnDigital,All You Can Learn Digital ,8/16/2019 15:47, automation technologies including advanced robotics artificial intelligence and additive manufacturing alter production    ,Internet ,58,Twitter Web App ,nan,ht,Haiti,19.3721887,-72.3346545,0.6249,POSITIVE
hsieh_alfred,Alfred Hsieh ,8/16/2019 15:35, automation technologies including advanced robotics artificial intelligence and additive manufacturing alter production    ,"Taipei City, Taiwan ",58,Twitter for iPhone ,nan,tw,Taiwan,25.0375198,121.5636796,0.6249,POSITIVE
FelixEVargas,Felix E. Vargas Q. ,8/16/2019 15:00,"bwill ai replace the human

after watching s of videosreading many articles on blogs about artificial intelligence and robotics i m confused
we should use ai to certain area in a limited way otherwise artificial superintelligence might replace human
",Lima ,0,Microsoft Azure Logic Apps , AI ML Robotics,pe,Peru,-12.0621065,-77.0365256,0.25,POSITIVE
LOVEPI515,PI 515 ,8/16/2019 14:59," will ai replace the human

after watching s of videosreading many articles on blogs about artificial intelligence and    ","DES MOINES, IOWA ",2,Twitter for iPhone ,nan,us,USA,41.5910641,-93.6037149,0.4767,POSITIVE
FerventAlba,Alba Zeal ,8/16/2019 14:56," the economics of  how cheaper predictions will change the world 
 by       ",Scotland ,57,Twitter for Android , ArtificialIntelligence,gb,United Kingdom,56.7861112,-4.1140518,0.0,NEUTRAL
SaeedBaygi,Saeed Valadbaygi ,8/16/2019 14:54,jeffrey tarrant saw as the future of managing money    wall street journal jeffrey tarrant a hedgefund guru promoted the idea that artificial intelligence would disrupt the world of money   ,"Toronto, Ontario ",0,Twibble.io , Artificial Intelligence AI Toronto ArtificialIntelligence,ca,Canada,43.653963,-79.387207,0.7096,POSITIVE
Pardoe_AI,Prof Andy Pardoe #intoAI #AI Conf & Expo 31st Oct ,8/16/2019 14:49," will ai replace the human

after watching s of videosreading many articles on blogs about artificial intelligence and    ",Global ,2,integration with twitter25 ,nan,ca,Canada,43.7283874,-79.3491488,0.4767,POSITIVE
semalytix,Semalytix GmbH ,8/16/2019 14:36,"there are thousands of examples of at we look into the possibilities for for companies check out what we do  like join or work with us 

 via  ","Bielefeld, Germany ",0,Hootsuite Inc. , AI Semalytix artificial intelligence pharmaceutical,de,Germany,52.0191005,8.531007,0.5719,POSITIVE
trishrubin,Trish Rubin ,8/16/2019 14:35," new generation of prosthetics can read almost 

this armband uses to predict    ","  T: 40.763238,-73.978066 ",64,Twitter Web App , prosthetics minds machine learning,de,Germany,50.7333163,11.0747905,0.0,NEUTRAL
SaeedBaygi,Saeed Valadbaygi ,8/16/2019 14:24,and machine learning the brain of a smart city    iot for all and ml can improve decision making personalize experiences and enhance decision making in smart cities but at the risk  ,"Toronto, Ontario ",0,Twibble.io , Artificial Intelligence AI ArtificialIntelligence Business Fraud,ca,Canada,43.653963,-79.387207,0.25,POSITIVE
PaolaEbranati,paola ebranati ,8/16/2019 14:21," the economics of  how cheaper predictions will change the world 
 by       ",Italy - USA  ,57,Twitter for iPhone , ArtificialIntelligence,us,USA,32.1840381,-96.8847194,0.0,NEUTRAL
GabelloneRic,Riccardo Gabellone ,8/16/2019 14:19," new generation of prosthetics can read almost 

this armband uses to predict    ","Alcamo, Sicilia ",64,Twitter for Android , prosthetics minds machine learning,it,Italy,37.9766497,12.9626735,0.0,NEUTRAL
SabelTanjil,Sabel Ahmad Tanjil ,8/16/2019 14:17,"bwill ai replace the human

after watching s of videosreading many articles on blogs about artificial intelligence and robotics i m confused
we should use ai to certain area in a limited way otherwise artificial superintelligence might replace human
","Dhaka, Bangladesh ",2,Twitter for Android , AI ML Robotics,bd,Bangladesh,23.7593572,90.3788136,0.25,POSITIVE
